Authors,Title,Source title
"Deena Divya Nayomi B., Mallika S.S., Sowmya T., Janardhan G., Laxmikanth P., Bhavsingh M.","A Cloud-Assisted Framework Utilizing Blockchain, Machine Learning, and Artificial Intelligence to Countermeasure Phishing Attacks in Smart Cities",International Journal of Intelligent Systems and Applications in Engineering
"Murugan T., Suvitha A., Milton Boaz B.","Crystal growth, structural, optical, mechanical characterization and quantum chemical analysis by DFT of an organic nonlinear optical single crystal 4-Hydroxy pyridinium succinate for photonic and optoelectronic devices",Journal of Molecular Structure
"Sushma B., Pulikala A.",AAPFC-BUSnet: Hierarchical encoder–decoder based CNN with attention aggregation pyramid feature clustering for breast ultrasound image lesion segmentation,Biomedical Signal Processing and Control
"Jeyanthi J.E., Samuel T.S.A., Song Y.S., Venkatesh M.",Heterostructure performance evaluation: A numerical simulation and analytical modeling of the ferroelectric pocket doped double gate tunnel FET,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields"
"Mathew J.C., Ilango V., Asha V.",Joint Runet++: A Joint Region-Based Unet++-Based Optic Disc and Cup Segmentation with Ensemble Generalization Loss for Glaucoma Disease Prediction,International Journal of Intelligent Systems and Applications in Engineering
"Punyasamudram S., Puthalapattu R.P., Bathinapatla A., Mulpuri R., Kanchi S., Kumar P.V.N.","Multifunctional characteristics of biosynthesized CoFe2O4@Ag nanocomposite by photocatalytic, antibacterial and cytotoxic applications",Chemosphere
"Bhimireddi R., Dhavala L., Shet T., Sadhu S.P.P., Kandula K.R., Ansari A.A., Padarti J.K.",Effect of ZnSnO3 on dielectric and ferroelectric properties of Sr2Bi4Ti5O18 ceramics,Journal of the American Ceramic Society
"Kumar S., Prasad B., Pillai R., Jariwala C., Lekshmi I.C., Kumar K., Yugesh V.",Amorphous silica coating on carbon fiber by bipolar pulsed RF-PECVD: A step towards advanced composites,AIP Conference Proceedings
"Siddiqui A.H., Santosh K., Al Ansari M.S., Suresh B., Sathiya V., Baker El-Ebiary Y.A.",EXPLORING THE DYNAMICS OF EDUCATIONAL FEEDBACK NETWORKS WITH GRAPH THEORY AND LSTM-BASED MODELING FOR ENHANCED LEARNING ANALYTICS AND FEEDBACK MECHANISMS,Journal of Theoretical and Applied Information Technology
"Orosoo M., Santosh K., Alfryan L., Pasha S.M., Prasuna G., Rengarajan M.",ENHANCING ENGLISH LEARNING OUTCOME PREDICTIONS: A HYBRID APPROACH INTEGRATING GRADIENT BOOSTING AND K-NEAREST NEIGHBOURS TECHNIQUES,Journal of Theoretical and Applied Information Technology
