Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Deena Divya Nayomi, B., Mallika, S.S., Sowmya, T., Janardhan, G., Laxmikanth, P., Bhavsingh, M.","58512677000;57211310382;58535859700;58668321400;57211603922;57897097900;","A Cloud-Assisted Framework Utilizing Blockchain, Machine Learning, and Artificial Intelligence to Countermeasure Phishing Attacks in Smart Cities",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","1s",,"313","327",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173653543&partnerID=40&md5=9dd5a047a156a4f020acea08b6b2fdc1",Article,"Final","",Scopus,2-s2.0-85173653543
"Murugan, T., Suvitha, A., Milton Boaz, B.","57226146173;57218331018;15064054100;","Crystal growth, structural, optical, mechanical characterization and quantum chemical analysis by DFT of an organic nonlinear optical single crystal 4-Hydroxy pyridinium succinate for photonic and optoelectronic devices",2024,"Journal of Molecular Structure","1303",,"137536","","",,,"10.1016/j.molstruc.2024.137536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183164495&doi=10.1016%2fj.molstruc.2024.137536&partnerID=40&md5=3b83672ac516eaff8c724c60e0234fb9",Article,"Final","",Scopus,2-s2.0-85183164495
"Sushma, B., Pulikala, A.","57216790007;57397068900;","AAPFC-BUSnet: Hierarchical encoder–decoder based CNN with attention aggregation pyramid feature clustering for breast ultrasound image lesion segmentation",2024,"Biomedical Signal Processing and Control","91",,"105969","","",,,"10.1016/j.bspc.2024.105969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184066662&doi=10.1016%2fj.bspc.2024.105969&partnerID=40&md5=6dcdf8e396da6d7ac316a519fcdae87f",Article,"Final","",Scopus,2-s2.0-85184066662
"Jeyanthi, J.E., Samuel, T.S.A., Song, Y.S., Venkatesh, M.","57216781122;57218343095;57211217651;57205438584;","Heterostructure performance evaluation: A numerical simulation and analytical modeling of the ferroelectric pocket doped double gate tunnel FET",2024,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields","37","2","e3182","","",,,"10.1002/jnm.3182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174929211&doi=10.1002%2fjnm.3182&partnerID=40&md5=082eb43758a46fff41845beebb92f6e1",Article,"Final","",Scopus,2-s2.0-85174929211
"Mathew, J.C., Ilango, V., Asha, V.","58167028100;6506294106;35519321500;","Joint Runet++: A Joint Region-Based Unet++-Based Optic Disc and Cup Segmentation with Ensemble Generalization Loss for Glaucoma Disease Prediction",2024,"International Journal of Intelligent Systems and Applications in Engineering","12","14s",,"160","173",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184680878&partnerID=40&md5=920b77b9d42775473dcca0e9bba38dcf",Article,"Final","",Scopus,2-s2.0-85184680878
"Punyasamudram, S., Puthalapattu, R.P., Bathinapatla, A., Mulpuri, R., Kanchi, S., Kumar, P.V.N.","58760825400;58164637200;56347385500;58760686300;36699599700;57214055022;","Multifunctional characteristics of biosynthesized CoFe2O4@Ag nanocomposite by photocatalytic, antibacterial and cytotoxic applications",2024,"Chemosphere","349",,"140892","","",,,"10.1016/j.chemosphere.2023.140892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179602783&doi=10.1016%2fj.chemosphere.2023.140892&partnerID=40&md5=064321af3e1d5130b1a1ee5ad148f97d",Article,"Final","",Scopus,2-s2.0-85179602783
"Bhimireddi, R., Dhavala, L., Shet, T., Sadhu, S.P.P., Kandula, K.R., Ansari, A.A., Padarti, J.K.","54896336200;57442952400;57189626411;58059088200;55814130700;18436160600;57201396367;","Effect of ZnSnO3 on dielectric and ferroelectric properties of Sr2Bi4Ti5O18 ceramics",2024,"Journal of the American Ceramic Society","107","2",,"984","994",,,"10.1111/jace.19486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173789647&doi=10.1111%2fjace.19486&partnerID=40&md5=6b6b732d4c1a63ce2956965e788948e8",Article,"Final","",Scopus,2-s2.0-85173789647
"Kumar, S., Prasad, B., Pillai, R., Jariwala, C., Lekshmi, I.C., Kumar, K., Yugesh, V.","57738996300;55820724300;57215376427;18436985400;55666220400;24436093500;58875566900;","Amorphous silica coating on carbon fiber by bipolar pulsed RF-PECVD: A step towards advanced composites",2024,"AIP Conference Proceedings","2978","1","020011","","",,,"10.1063/5.0182921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184610229&doi=10.1063%2f5.0182921&partnerID=40&md5=a5764400de5fb3b6d1e9289d4c55196d",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85184610229
"Siddiqui, A.H., Santosh, K., Al Ansari, M.S., Suresh, B., Sathiya, V., Baker El-Ebiary, Y.A.","58830980000;57213408840;55851947048;56637932000;57207618558;57195625873;","EXPLORING THE DYNAMICS OF EDUCATIONAL FEEDBACK NETWORKS WITH GRAPH THEORY AND LSTM-BASED MODELING FOR ENHANCED LEARNING ANALYTICS AND FEEDBACK MECHANISMS",2024,"Journal of Theoretical and Applied Information Technology","101","1",,"111","122",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182908776&partnerID=40&md5=090ce3da2d471044de0b7479a40f2cf4",Article,"Final","",Scopus,2-s2.0-85182908776
"Orosoo, M., Santosh, K., Alfryan, L., Pasha, S.M., Prasuna, G., Rengarajan, M.","57282916600;57213408840;57221086253;58832349200;57216759878;58494592300;","ENHANCING ENGLISH LEARNING OUTCOME PREDICTIONS: A HYBRID APPROACH INTEGRATING GRADIENT BOOSTING AND K-NEAREST NEIGHBOURS TECHNIQUES",2024,"Journal of Theoretical and Applied Information Technology","101","1",,"97","110",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182885807&partnerID=40&md5=c7785f54aaf29c8a7e8edac7586fba1d",Article,"Final","",Scopus,2-s2.0-85182885807
